Date,Time,Temperature(C),Humidity(%RH)
2024-07-17,04:48,30.8,86.42
2024-07-17,04:49,30.83,86.45
2024-07-17,04:50,30.86,86.48
2024-07-17,04:51,30.89,86.51
2024-07-17,04:52,30.92,86.54
2024-07-17,04:53,30.95,86.57
2024-07-17,04:54,30.98,86.6
2024-07-17,04:55,31.01,86.63
2024-07-17,04:56,31.04,86.66
2024-07-17,04:57,30.78,86.5
2024-07-17,04:58,30.81,86.54
2024-07-17,04:59,30.85,86.59
2024-07-17,05:00,30.88,86.63
2024-07-17,05:01,30.92,86.68
2024-07-17,05:02,30.95,86.72
2024-07-17,05:03,30.99,86.77
2024-07-17,05:04,31.02,86.81
2024-07-17,05:05,31.06,86.86
2024-07-17,05:06,31.1,86.91
2024-07-17,05:07,31.0,86.75
2024-07-17,05:08,30.97,86.77
2024-07-17,05:09,30.93,86.8
2024-07-17,05:10,30.9,86.83
2024-07-17,05:11,30.86,86.86
2024-07-17,05:12,30.83,86.89
2024-07-17,05:13,30.79,86.92
2024-07-17,05:14,30.76,86.95
2024-07-17,05:15,30.72,86.98
2024-07-17,05:16,30.68,87.01
2024-07-17,05:17,30.88,87.1
2024-07-17,05:18,30.87,87.13
2024-07-17,05:19,30.85,87.16
2024-07-17,05:20,30.83,87.19
2024-07-17,05:21,30.81,87.22
2024-07-17,05:22,30.8,87.25
2024-07-17,05:23,30.78,87.28
2024-07-17,05:24,30.76,87.31
2024-07-17,05:25,30.74,87.34
2024-07-17,05:26,30.72,87.37
2024-07-17,05:27,30.78,87.26
2024-07-17,05:28,30.76,87.3
2024-07-17,05:29,30.73,87.35
2024-07-17,05:30,30.7,87.39
2024-07-17,05:31,30.68,87.44
2024-07-17,05:32,30.65,87.48
2024-07-17,05:33,30.62,87.53
2024-07-17,05:34,30.6,87.57
2024-07-17,05:35,30.57,87.62
2024-07-17,05:36,30.54,87.67
2024-07-17,05:37,30.78,87.48
2024-07-17,05:38,30.76,87.51
2024-07-17,05:39,30.74,87.55
2024-07-17,05:40,30.71,87.59
2024-07-17,05:41,30.69,87.63
2024-07-17,05:42,30.67,87.67
2024-07-17,05:43,30.64,87.71
2024-07-17,05:44,30.62,87.75
2024-07-17,05:45,30.6,87.79
2024-07-17,05:46,30.57,87.83
2024-07-17,05:47,30.78,87.95
2024-07-17,05:48,30.77,87.93
2024-07-17,05:49,30.75,87.91
2024-07-17,05:50,30.73,87.89
2024-07-17,05:51,30.72,87.87
2024-07-17,05:52,30.7,87.85
2024-07-17,05:53,30.68,87.83
2024-07-17,05:54,30.67,87.81
2024-07-17,05:55,30.65,87.79
2024-07-17,05:56,30.63,87.76
2024-07-17,05:57,30.9,87.8
2024-07-17,05:58,30.87,87.82
2024-07-17,05:59,30.84,87.84
2024-07-17,06:00,30.8,87.87
2024-07-17,06:01,30.77,87.89
2024-07-17,06:02,30.74,87.91
2024-07-17,06:03,30.7,87.94
2024-07-17,06:04,30.67,87.96
2024-07-17,06:05,30.64,87.98
2024-07-17,06:06,30.6,88.01
2024-07-17,06:07,30.6,87.85
2024-07-17,06:08,30.61,87.9
2024-07-17,06:09,30.62,87.95
2024-07-17,06:10,30.63,88.01
2024-07-17,06:11,30.64,88.06
2024-07-17,06:12,30.65,88.12
2024-07-17,06:13,30.66,88.17
2024-07-17,06:14,30.67,88.23
2024-07-17,06:15,30.68,88.28
2024-07-17,06:16,30.69,88.34
2024-07-17,06:17,30.5,88.33
2024-07-17,06:18,30.53,88.3
2024-07-17,06:19,30.56,88.26
2024-07-17,06:20,30.59,88.22
2024-07-17,06:21,30.62,88.18
2024-07-17,06:22,30.65,88.15
2024-07-17,06:23,30.68,88.11
2024-07-17,06:24,30.71,88.07
2024-07-17,06:25,30.74,88.03
2024-07-17,06:26,30.78,87.99
2024-07-17,06:27,30.78,88.43
2024-07-17,06:28,30.76,88.41
2024-07-17,06:29,30.74,88.38
2024-07-17,06:30,30.72,88.36
2024-07-17,06:31,30.7,88.33
2024-07-17,06:32,30.68,88.31
2024-07-17,06:33,30.66,88.28
2024-07-17,06:34,30.64,88.26
2024-07-17,06:35,30.62,88.23
2024-07-17,06:36,30.6,88.2
2024-07-17,06:37,30.54,88.41
2024-07-17,06:38,30.56,88.43
2024-07-17,06:39,30.58,88.46
2024-07-17,06:40,30.6,88.48
2024-07-17,06:41,30.62,88.51
2024-07-17,06:42,30.64,88.53
2024-07-17,06:43,30.66,88.56
2024-07-17,06:44,30.68,88.58
2024-07-17,06:45,30.7,88.61
2024-07-17,06:46,30.72,88.64
2024-07-17,06:47,30.61,88.66
2024-07-17,06:48,30.62,88.63
2024-07-17,06:49,30.64,88.59
2024-07-17,06:50,30.66,88.55
2024-07-17,06:51,30.68,88.51
2024-07-17,06:52,30.7,88.47
2024-07-17,06:53,30.72,88.43
2024-07-17,06:54,30.74,88.39
2024-07-17,06:55,30.76,88.35
2024-07-17,06:56,30.78,88.31
2024-07-17,06:57,30.75,88.55
2024-07-17,06:58,30.74,88.54
2024-07-17,06:59,30.72,88.52
2024-07-17,07:00,30.7,88.5
2024-07-17,07:01,30.69,88.48
2024-07-17,07:02,30.67,88.46
2024-07-17,07:03,30.65,88.44
2024-07-17,07:04,30.64,88.42
2024-07-17,07:05,30.62,88.4
2024-07-17,07:06,30.6,88.38
2024-07-17,07:07,30.78,88.3
2024-07-17,07:08,30.76,88.32
2024-07-17,07:09,30.73,88.35
2024-07-17,07:10,30.7,88.38
2024-07-17,07:11,30.67,88.41
2024-07-17,07:12,30.65,88.43
2024-07-17,07:13,30.62,88.46
2024-07-17,07:14,30.59,88.49
2024-07-17,07:15,30.56,88.52
2024-07-17,07:16,30.53,88.55
2024-07-17,07:17,30.72,88.57
2024-07-17,07:18,30.69,88.54
2024-07-17,07:19,30.66,88.51
2024-07-17,07:20,30.62,88.48
2024-07-17,07:21,30.59,88.45
2024-07-17,07:22,30.56,88.42
2024-07-17,07:23,30.52,88.39
2024-07-17,07:24,30.49,88.36
2024-07-17,07:25,30.46,88.33
2024-07-17,07:26,30.42,88.29
2024-07-17,07:27,30.72,88.3
2024-07-17,07:28,30.7,88.33
2024-07-17,07:29,30.68,88.37
2024-07-17,07:30,30.66,88.4
2024-07-17,07:31,30.64,88.44
2024-07-17,07:32,30.62,88.47
2024-07-17,07:33,30.6,88.51
2024-07-17,07:34,30.58,88.54
2024-07-17,07:35,30.56,88.58
2024-07-17,07:36,30.54,88.62
2024-07-17,07:37,30.72,88.46
2024-07-17,07:38,30.7,88.49
2024-07-17,07:39,30.68,88.52
2024-07-17,07:40,30.66,88.56
2024-07-17,07:41,30.64,88.59
2024-07-17,07:42,30.62,88.63
2024-07-17,07:43,30.6,88.66
2024-07-17,07:44,30.58,88.7
2024-07-17,07:45,30.56,88.73
2024-07-17,07:46,30.54,88.77
2024-07-17,07:47,30.78,88.62
2024-07-17,07:48,30.76,88.64
2024-07-17,07:49,30.73,88.67
2024-07-17,07:50,30.7,88.7
2024-07-17,07:51,30.68,88.72
2024-07-17,07:52,30.65,88.75
2024-07-17,07:53,30.62,88.78
2024-07-17,07:54,30.6,88.8
2024-07-17,07:55,30.57,88.83
2024-07-17,07:56,30.54,88.86
2024-07-17,07:57,30.78,88.85
2024-07-17,07:58,30.76,88.82
2024-07-17,07:59,30.73,88.78
2024-07-17,08:00,30.7,88.74
2024-07-17,08:01,30.68,88.7
2024-07-17,08:02,30.65,88.67
2024-07-17,08:03,30.62,88.63
2024-07-17,08:04,30.6,88.59
2024-07-17,08:05,30.57,88.55
2024-07-17,08:06,30.54,88.51
2024-07-17,08:07,30.65,88.54
2024-07-17,08:08,30.67,88.57
2024-07-17,08:09,30.69,88.61
2024-07-17,08:10,30.71,88.65
2024-07-17,08:11,30.73,88.68
2024-07-17,08:12,30.76,88.72
2024-07-17,08:13,30.78,88.76
2024-07-17,08:14,30.8,88.79
2024-07-17,08:15,30.82,88.83
2024-07-17,08:16,30.85,88.87
2024-07-17,08:17,30.65,88.42
2024-07-17,08:18,30.67,88.45
2024-07-17,08:19,30.69,88.49
2024-07-17,08:20,30.71,88.53
2024-07-17,08:21,30.73,88.57
2024-07-17,08:22,30.76,88.6
2024-07-17,08:23,30.78,88.64
2024-07-17,08:24,30.8,88.68
2024-07-17,08:25,30.82,88.72
2024-07-17,08:26,30.85,88.76
2024-07-17,08:27,30.61,88.49
2024-07-17,08:28,30.64,88.54
2024-07-17,08:29,30.67,88.59
2024-07-17,08:30,30.7,88.64
2024-07-17,08:31,30.73,88.69
2024-07-17,08:32,30.76,88.74
2024-07-17,08:33,30.79,88.79
2024-07-17,08:34,30.82,88.84
2024-07-17,08:35,30.85,88.89
2024-07-17,08:36,30.88,88.94
2024-07-17,08:37,30.65,88.6
2024-07-17,08:38,30.67,88.57
2024-07-17,08:39,30.7,88.54
2024-07-17,08:40,30.73,88.51
2024-07-17,08:41,30.76,88.48
2024-07-17,08:42,30.79,88.45
2024-07-17,08:43,30.82,88.42
2024-07-17,08:44,30.85,88.39
2024-07-17,08:45,30.88,88.36
2024-07-17,08:46,30.91,88.33
2024-07-17,08:47,30.89,88.47
2024-07-17,08:48,30.91,88.42
2024-07-17,08:49,30.94,88.36
2024-07-17,08:50,30.97,88.3
2024-07-17,08:51,30.99,88.25
2024-07-17,08:52,31.02,88.19
2024-07-17,08:53,31.05,88.13
2024-07-17,08:54,31.07,88.08
2024-07-17,08:55,31.1,88.02
2024-07-17,08:56,31.13,87.96
2024-07-17,08:57,31.04,87.85
2024-07-17,08:58,31.05,87.81
2024-07-17,08:59,31.06,87.77
2024-07-17,09:00,31.08,87.72
2024-07-17,09:01,31.09,87.68
2024-07-17,09:02,31.1,87.64
2024-07-17,09:03,31.12,87.59
2024-07-17,09:04,31.13,87.55
2024-07-17,09:05,31.14,87.51
2024-07-17,09:06,31.16,87.46
2024-07-17,09:07,31.13,87.5
2024-07-17,09:08,31.14,87.45
2024-07-17,09:09,31.16,87.39
2024-07-17,09:10,31.17,87.33
2024-07-17,09:11,31.19,87.27
2024-07-17,09:12,31.2,87.21
2024-07-17,09:13,31.22,87.15
2024-07-17,09:14,31.23,87.09
2024-07-17,09:15,31.25,87.03
2024-07-17,09:16,31.27,86.97
2024-07-17,09:17,31.21,87.3
2024-07-17,09:18,31.26,87.21
2024-07-17,09:19,31.31,87.11
2024-07-17,09:20,31.36,87.01
2024-07-17,09:21,31.41,86.92
2024-07-17,09:22,31.46,86.82
2024-07-17,09:23,31.51,86.72
2024-07-17,09:24,31.56,86.63
2024-07-17,09:25,31.61,86.53
2024-07-17,09:26,31.66,86.43
2024-07-17,09:27,31.53,86.26
2024-07-17,09:28,31.56,86.19
2024-07-17,09:29,31.6,86.11
2024-07-17,09:30,31.64,86.03
2024-07-17,09:31,31.68,85.96
2024-07-17,09:32,31.71,85.88
2024-07-17,09:33,31.75,85.8
2024-07-17,09:34,31.79,85.73
2024-07-17,09:35,31.83,85.65
2024-07-17,09:36,31.87,85.57
2024-07-17,09:37,31.91,85.63
2024-07-17,09:38,31.9,85.52
2024-07-17,09:39,31.88,85.4
2024-07-17,09:40,31.87,85.29
2024-07-17,09:41,31.85,85.17
2024-07-17,09:42,31.84,85.06
2024-07-17,09:43,31.82,84.94
2024-07-17,09:44,31.81,84.83
2024-07-17,09:45,31.79,84.71
2024-07-17,09:46,31.77,84.59
2024-07-17,09:47,31.9,85.0
2024-07-17,09:48,31.94,84.93
2024-07-17,09:49,31.98,84.86
2024-07-17,09:50,32.02,84.78
2024-07-17,09:51,32.06,84.71
2024-07-17,09:52,32.1,84.64
2024-07-17,09:53,32.14,84.56
2024-07-17,09:54,32.18,84.49
2024-07-17,09:55,32.22,84.42
2024-07-17,09:56,32.27,84.34
2024-07-17,09:57,32.03,84.81
2024-07-17,09:58,32.06,84.72
2024-07-17,09:59,32.09,84.62
2024-07-17,10:00,32.13,84.52
2024-07-17,10:01,32.16,84.42
2024-07-17,10:02,32.2,84.33
2024-07-17,10:03,32.23,84.23
2024-07-17,10:04,32.27,84.13
2024-07-17,10:05,32.3,84.03
2024-07-17,10:06,32.34,83.93
2024-07-17,10:07,32.15,83.77
2024-07-17,10:08,32.16,83.69
2024-07-17,10:09,32.17,83.61
2024-07-17,10:10,32.18,83.52
2024-07-17,10:11,32.19,83.44
2024-07-17,10:12,32.21,83.35
2024-07-17,10:13,32.22,83.27
2024-07-17,10:14,32.23,83.18
2024-07-17,10:15,32.24,83.1
2024-07-17,10:16,32.26,83.01
2024-07-17,10:17,32.27,83.33
2024-07-17,10:18,32.32,83.22
2024-07-17,10:19,32.38,83.1
2024-07-17,10:20,32.43,82.98
2024-07-17,10:21,32.49,82.86
2024-07-17,10:22,32.54,82.74
2024-07-17,10:23,32.6,82.62
2024-07-17,10:24,32.65,82.5
2024-07-17,10:25,32.71,82.38
2024-07-17,10:26,32.77,82.26
2024-07-17,10:27,32.93,80.55
2024-07-17,10:28,32.9,80.76
2024-07-17,10:29,32.87,80.97
2024-07-17,10:30,32.84,81.19
2024-07-17,10:31,32.81,81.4
2024-07-17,10:32,32.78,81.61
2024-07-17,10:33,32.75,81.83
2024-07-17,10:34,32.72,82.04
2024-07-17,10:35,32.69,82.25
2024-07-17,10:36,32.65,82.47
2024-07-17,10:37,32.78,80.97
2024-07-17,10:38,32.77,81.03
2024-07-17,10:39,32.76,81.1
2024-07-17,10:40,32.74,81.17
2024-07-17,10:41,32.73,81.24
2024-07-17,10:42,32.71,81.31
2024-07-17,10:43,32.7,81.38
2024-07-17,10:44,32.68,81.45
2024-07-17,10:45,32.67,81.52
2024-07-17,10:46,32.65,81.59
2024-07-17,10:47,32.77,81.06
2024-07-17,10:48,32.84,80.8
2024-07-17,10:49,32.91,80.54
2024-07-17,10:50,32.98,80.28
2024-07-17,10:51,33.05,80.02
2024-07-17,10:52,33.12,79.76
2024-07-17,10:53,33.19,79.5
2024-07-17,10:54,33.26,79.24
2024-07-17,10:55,33.33,78.98
2024-07-17,10:56,33.4,78.71
2024-07-17,10:57,33.27,78.75
2024-07-17,10:58,33.28,78.63
2024-07-17,10:59,33.3,78.5
2024-07-17,11:00,33.31,78.38
2024-07-17,11:01,33.33,78.25
2024-07-17,11:02,33.34,78.13
2024-07-17,11:03,33.36,78.0
2024-07-17,11:04,33.37,77.88
2024-07-17,11:05,33.39,77.75
2024-07-17,11:06,33.41,77.62
2024-07-17,11:07,33.42,77.44
2024-07-17,11:08,33.45,77.35
2024-07-17,11:09,33.48,77.25
2024-07-17,11:10,33.51,77.15
2024-07-17,11:11,33.54,77.05
2024-07-17,11:12,33.57,76.95
2024-07-17,11:13,33.6,76.85
2024-07-17,11:14,33.63,76.75
2024-07-17,11:15,33.66,76.65
2024-07-17,11:16,33.7,76.55
2024-07-17,11:17,33.83,77.24
2024-07-17,11:18,33.87,76.92
2024-07-17,11:19,33.92,76.6
2024-07-17,11:20,33.96,76.27
2024-07-17,11:21,34.01,75.95
2024-07-17,11:22,34.05,75.63
2024-07-17,11:23,34.1,75.3
2024-07-17,11:24,34.14,74.98
2024-07-17,11:25,34.19,74.66
2024-07-17,11:26,34.24,74.33
2024-07-17,11:27,34.2,75.84
2024-07-17,11:28,34.18,75.72
2024-07-17,11:29,34.16,75.59
2024-07-17,11:30,34.13,75.46
2024-07-17,11:31,34.11,75.33
2024-07-17,11:32,34.09,75.21
2024-07-17,11:33,34.06,75.08
2024-07-17,11:34,34.04,74.95
2024-07-17,11:35,34.02,74.82
2024-07-17,11:36,33.99,74.69
2024-07-17,11:37,34.18,75.55
2024-07-17,11:38,34.23,75.27
2024-07-17,11:39,34.28,74.98
2024-07-17,11:40,34.33,74.69
2024-07-17,11:41,34.38,74.4
2024-07-17,11:42,34.43,74.12
2024-07-17,11:43,34.48,73.83
2024-07-17,11:44,34.53,73.54
2024-07-17,11:45,34.58,73.25
2024-07-17,11:46,34.64,72.96
2024-07-17,11:47,34.4,74.54
2024-07-17,11:48,34.42,74.29
2024-07-17,11:49,34.45,74.03
2024-07-17,11:50,34.48,73.78
2024-07-17,11:51,34.5,73.52
2024-07-17,11:52,34.53,73.27
2024-07-17,11:53,34.56,73.01
2024-07-17,11:54,34.58,72.76
2024-07-17,11:55,34.61,72.5
2024-07-17,11:56,34.64,72.24
2024-07-17,11:57,34.83,72.76
2024-07-17,11:58,34.81,72.38
2024-07-17,11:59,34.79,71.99
2024-07-17,12:00,34.77,71.6
2024-07-17,12:01,34.75,71.21
2024-07-17,12:02,34.73,70.82
2024-07-17,12:03,34.71,70.43
2024-07-17,12:04,34.69,70.04
2024-07-17,12:05,34.67,69.65
2024-07-17,12:06,34.64,69.26
2024-07-17,12:07,34.52,69.3
2024-07-17,12:08,34.54,69.49
2024-07-17,12:09,34.57,69.68
2024-07-17,12:10,34.6,69.87
2024-07-17,12:11,34.62,70.06
2024-07-17,12:12,34.65,70.25
2024-07-17,12:13,34.68,70.44
2024-07-17,12:14,34.7,70.63
2024-07-17,12:15,34.73,70.82
2024-07-17,12:16,34.76,71.02
2024-07-17,12:17,34.64,71.36
2024-07-17,12:18,34.66,71.06
2024-07-17,12:19,34.69,70.76
2024-07-17,12:20,34.72,70.46
2024-07-17,12:21,34.74,70.16
2024-07-17,12:22,34.77,69.85
2024-07-17,12:23,34.8,69.55
2024-07-17,12:24,34.82,69.25
2024-07-17,12:25,34.85,68.95
2024-07-17,12:26,34.88,68.64
2024-07-17,12:27,34.46,68.02
2024-07-17,12:28,34.48,68.18
2024-07-17,12:29,34.5,68.35
2024-07-17,12:30,34.52,68.51
2024-07-17,12:31,34.54,68.68
2024-07-17,12:32,34.57,68.84
2024-07-17,12:33,34.59,69.01
2024-07-17,12:34,34.61,69.17
2024-07-17,12:35,34.63,69.34
2024-07-17,12:36,34.66,69.51
2024-07-17,12:37,34.58,69.16
2024-07-17,12:38,34.61,68.97
2024-07-17,12:39,34.64,68.78
2024-07-17,12:40,34.68,68.58
2024-07-17,12:41,34.71,68.39
2024-07-17,12:42,34.75,68.2
2024-07-17,12:43,34.78,68.0
2024-07-17,12:44,34.82,67.81
2024-07-17,12:45,34.85,67.62
2024-07-17,12:46,34.89,67.42
2024-07-17,12:47,34.83,67.56
2024-07-17,12:48,34.86,67.67
2024-07-17,12:49,34.89,67.79
2024-07-17,12:50,34.92,67.9
2024-07-17,12:51,34.95,68.02
2024-07-17,12:52,34.98,68.13
2024-07-17,12:53,35.01,68.25
2024-07-17,12:54,35.04,68.36
2024-07-17,12:55,35.07,68.48
2024-07-17,12:56,35.11,68.6
2024-07-17,12:57,34.88,68.32
2024-07-17,12:58,34.9,68.4
2024-07-17,12:59,34.93,68.48
2024-07-17,13:00,34.96,68.57
2024-07-17,13:01,34.99,68.65
2024-07-17,13:02,35.01,68.73
2024-07-17,13:03,35.04,68.82
2024-07-17,13:04,35.07,68.9
2024-07-17,13:05,35.1,68.98
2024-07-17,13:06,35.13,69.07
2024-07-17,13:07,35.08,68.06
2024-07-17,13:08,35.12,67.85
2024-07-17,13:09,35.17,67.63
2024-07-17,13:10,35.22,67.42
2024-07-17,13:11,35.27,67.2
2024-07-17,13:12,35.31,66.99
2024-07-17,13:13,35.36,66.77
2024-07-17,13:14,35.41,66.56
2024-07-17,13:15,35.46,66.34
2024-07-17,13:16,35.51,66.12
2024-07-17,13:17,35.45,66.48
2024-07-17,13:18,35.49,66.34
2024-07-17,13:19,35.53,66.2
2024-07-17,13:20,35.57,66.05
2024-07-17,13:21,35.61,65.91
2024-07-17,13:22,35.65,65.76
2024-07-17,13:23,35.69,65.62
2024-07-17,13:24,35.73,65.47
2024-07-17,13:25,35.77,65.33
2024-07-17,13:26,35.81,65.18
2024-07-17,13:27,35.82,64.63
2024-07-17,13:28,35.85,64.81
2024-07-17,13:29,35.89,64.99
2024-07-17,13:30,35.92,65.18
2024-07-17,13:31,35.96,65.36
2024-07-17,13:32,35.99,65.54
2024-07-17,13:33,36.03,65.73
2024-07-17,13:34,36.06,65.91
2024-07-17,13:35,36.1,66.09
2024-07-17,13:36,36.14,66.28
2024-07-17,13:37,36.14,64.31
2024-07-17,13:38,36.11,64.45
2024-07-17,13:39,36.07,64.59
2024-07-17,13:40,36.04,64.73
